Saison	Equipe	WAC		MAS		FAR		FUS		SCCM		MCO		USK		KAC		RSS		RADM		DHJ		TAS		RCA		EJSC		SM		CODM	
1968/69	WAC	--	--	0	0	1	0	2	2	2	0	2	1	2	0	1	0	4	1	2	1	2	1	2	0	1	0	1	1	1	0	0	0
1968/69	MAS	0	0	--	--	1	1	1	0	2	1	1	2	1	0	4	1	2	1	0	0	1	0	1	1	2	1	1	0	3	1	1	0
1968/69	FAR	1	1	1	0	--	--	0	0	2	0	2	0	1	0	1	2	0	0	0	0	2	0	0	0	2	1	1	1	2	2	3	1
1968/69	FUS	1	2	1	1	0	2	--	--	1	0	1	0	2	2	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0
1968/69	SCCM	0	1	2	0	0	0	1	1	--	--	3	2	1	1	4	1	1	1	2	0	4	0	1	1	1	0	2	0	1	0	2	1
1968/69	MCO	2	0	1	0	0	0	1	0	1	2	--	--	0	1	1	0	4	3	1	1	2	1	2	0	1	1	1	1	1	0	4	1
1968/69	USK	1	1	0	0	0	1	1	0	1	0	2	0	--	--	2	0	2	1	0	1	1	1	0	2	2	2	0	0	2	1	2	1
1968/69	KAC	1	0	0	1	0	0	2	0	2	2	1	1	1	0	--	--	1	0	1	0	2	1	0	0	0	0	3	0	0	0	2	0
1968/69	RSS	1	1	1	0	0	0	0	0	3	1	3	2	2	0	0	0	--	--	1	2	1	0	0	0	0	1	1	0	2	1	1	0
1968/69	RADM	1	0	0	0	0	1	0	2	2	1	0	0	0	0	2	1	0	0	--	--	0	0	1	1	0	0	0	0	0	5	3	0
1968/69	DHJ	0	0	1	1	2	0	1	1	1	0	2	0	2	0	3	3	0	1	2	2	--	--	2	2	0	0	2	2	1	1	6	1
1968/69	TAS	0	1	0	1	0	1	3	1	1	1	2	2	1	1	2	0	3	1	0	0	1	1	--	--	1	1	0	0	0	0	3	1
1968/69	RCA	1	1	0	2	0	0	0	1	2	1	0	0	0	0	0	1	1	0	3	1	1	1	0	0	--	--	0	0	1	1	1	1
1968/69	EJSC	0	0	1	1	2	1	2	2	0	0	1	1	0	2	0	0	1	0	3	2	3	4	0	0	0	2	--	--	1	0	2	0
1968/69	SM	1	2	1	0	0	0	2	1	2	1	2	1	1	1	1	0	1	2	1	1	0	0	0	0	1	1	0	0	--	--	1	1
1968/69	CODM	0	1	2	3	1	1	1	3	1	0	2	0	1	1	1	0	1	1	0	1	1	1	3	1	1	1	2	1	3	1	--	--
