Saison	Equipe	FAR		USK		RCA		SCCM		WAC		MAS		RSS		FUS		DHJ		RBM		MCO		ADM		TAS		KAC		EJSC		ASS	
1969/70	FAR	--	--	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	3	0	1	0	0	0	1	0	1	0	1	0
1969/70	USK	1	1	--	--	0	0	0	0	1	1	2	0	1	1	0	0	2	0	2	1	2	0	1	0	2	1	1	0	2	0	1	0
1969/70	RCA	1	1	2	1	--	--	1	1	0	2	1	1	0	0	1	0	2	1	1	0	1	1	0	0	1	0	2	0	2	0	2	0
1969/70	SCCM	2	1	0	0	1	0	--	--	0	0	1	0	1	1	0	1	2	2	2	0	2	3	2	0	3	0	2	0	3	0	3	0
1969/70	WAC	0	1	3	1	0	0	0	1	--	--	1	2	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0
1969/70	MAS	0	0	0	0	0	0	1	0	1	1	--	--	1	1	0	1	1	1	1	0	3	2	0	0	3	0	1	0	0	0	1	0
1969/70	RSS	1	0	1	2	1	1	1	1	2	1	0	0	--	--	0	0	0	0	2	0	1	1	1	0	4	2	1	1	2	1	2	0
1969/70	FUS	0	3	1	2	0	1	1	0	0	0	1	1	0	0	--	--	2	1	2	1	1	1	2	1	1	1	0	0	1	1	3	0
1969/70	DHJ	0	0	0	1	1	0	4	4	1	0	2	1	2	0	1	2	--	--	1	1	2	0	2	0	1	1	1	0	2	0	2	0
1969/70	RBM	1	2	1	3	1	3	1	0	1	0	1	0	1	0	2	2	1	1	--	--	1	0	2	1	1	0	1	0	1	0	0	0
1969/70	MCO	0	0	3	1	1	1	0	0	0	1	2	2	0	0	2	0	2	0	1	0	--	--	1	0	0	0	1	1	1	0	1	0
1969/70	ADM	0	1	1	0	3	0	1	1	1	1	0	1	1	1	0	0	1	0	2	2	3	0	--	--	0	1	2	1	2	0	4	1
1969/70	TAS	1	2	1	0	0	0	0	0	2	1	0	0	0	0	0	1	1	1	1	2	2	0	2	1	--	--	1	0	0	0	4	1
1969/70	KAC	0	1	0	0	1	0	2	1	0	1	0	1	2	0	1	0	1	0	1	1	1	0	0	2	2	1	--	--	2	1	1	0
1969/70	EJSC	0	1	1	0	0	3	1	0	0	2	0	0	2	2	1	1	1	3	2	1	0	1	1	1	1	4	0	0	--	--	3	0
1969/70	ASS	0	2	0	0	0	0	1	4	2	2	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	1	3	0	0	--	--
