Saison	Equipe	ADM		WAC		MAS		FAR		DHJ		RSS		KAC		MCO		FUS		RCA		SCCM		RBM		USK		YCR		HUSA		KACM	
1971/72	ADM	--	--	0	2	3	0	0	0	3	2	1	1	2	0	1	0	1	1	0	0	0	0	1	1	3	1	1	0	3	2	1	0
1971/72	WAC	1	1	--	--	0	1	2	1	2	2	1	0	0	1	3	1	1	1	1	1	0	0	5	3	1	0	2	1	1	1	2	0
1971/72	MAS	1	1	1	1	--	--	0	0	1	0	0	0	0	1	2	1	0	0	2	0	1	0	2	1	0	0	0	0	2	0	2	0
1971/72	FAR	0	0	0	0	0	0	--	--	0	0	1	1	2	2	2	2	2	1	2	0	2	1	2	1	3	0	1	2	2	0	0	1
1971/72	DHJ	0	1	1	0	1	1	1	2	--	--	2	0	4	1	2	1	4	2	2	2	0	0	1	1	2	1	2	0	2	1	2	0
1971/72	RSS	2	1	1	2	1	0	2	0	0	0	--	--	1	1	3	1	2	1	2	0	2	0	1	0	1	0	2	1	3	0	2	0
1971/72	KAC	0	0	0	2	0	0	0	0	2	0	2	2	--	--	2	1	1	1	3	1	1	0	1	0	2	1	1	1	2	2	1	0
1971/72	MCO	1	1	3	1	0	1	1	0	3	2	1	1	1	1	--	--	1	2	1	1	1	0	1	1	1	0	2	0	1	0	3	0
1971/72	FUS	1	0	0	1	0	0	0	2	0	1	1	0	2	0	4	0	--	--	1	2	1	1	2	1	1	0	1	1	1	0	0	1
1971/72	RCA	1	3	0	0	1	1	1	1	2	1	2	1	0	0	1	1	0	1	--	--	1	0	5	0	2	2	1	3	4	1	4	2
1971/72	SCCM	2	2	2	4	0	0	2	1	0	1	1	0	1	1	3	0	1	1	1	2	--	--	1	1	1	0	1	0	0	0	1	0
1971/72	RBM	1	1	1	1	1	1	0	2	1	1	4	1	2	1	0	0	0	0	3	0	0	2	--	--	1	0	2	1	0	0	4	0
1971/72	USK	0	0	1	0	0	0	0	1	1	1	4	2	3	2	0	1	1	1	4	2	1	0	3	1	--	--	1	0	1	1	2	0
1971/72	YCR	0	1	1	1	1	0	0	2	2	1	1	0	2	0	2	3	2	0	0	0	2	2	0	1	1	1	--	--	2	0	1	1
1971/72	HUSA	1	2	1	2	0	2	2	1	1	1	1	0	0	1	1	1	1	1	2	0	1	0	2	1	1	1	3	1	--	--	3	0
1971/72	KACM	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	1	1	2	0	1	0	1	0	0	0	--	--
