Saison	Equipe	KAC		MAS		RCA		DHJ		RSS		TAS		FUS		MCO		WAC		IZK		SCCM		FAR		USK		RBM		ADM		YCR	
1972/73	KAC	--	--	1	0	2	2	1	1	2	1	1	0	0	1	0	0	2	0	2	0	2	2	3	2	3	0	0	0	2	1	3	1
1972/73	MAS	1	0	--	--	3	2	1	0	1	0	2	0	2	0	2	0	1	0	0	0	2	1	1	0	1	1	0	0	2	1	5	1
1972/73	RCA	1	1	1	1	--	--	1	0	2	0	1	2	2	2	0	0	1	0	2	1	1	0	0	0	2	2	2	1	0	1	2	1
1972/73	DHJ	3	1	2	0	0	2	--	--	1	2	1	1	0	0	2	2	1	0	0	1	1	0	2	2	3	0	1	0	1	1	1	0
1972/73	RSS	3	2	1	0	0	0	1	1	--	--	1	1	3	1	1	2	0	0	2	1	2	0	1	0	2	0	3	0	0	0	0	0
1972/73	TAS	2	1	1	2	0	1	1	1	1	1	--	--	1	0	1	0	0	1	2	2	3	0	1	0	2	3	0	0	1	3	3	0
1972/73	FUS	1	1	0	0	2	2	1	1	1	0	1	1	--	--	2	1	1	0	1	0	2	1	1	1	1	1	1	1	3	1	2	0
1972/73	MCO	0	0	1	0	2	2	0	1	4	1	2	1	2	0	--	--	1	0	2	1	3	2	1	1	1	1	3	0	0	0	2	1
1972/73	WAC	2	0	1	0	1	0	0	0	4	1	1	1	1	0	2	0	--	--	2	2	1	1	1	2	1	1	1	1	0	1	3	1
1972/73	IZK	0	0	0	0	2	1	3	1	1	1	1	1	0	0	1	0	0	0	--	--	2	1	1	0	1	0	2	0	1	0	2	0
1972/73	SCCM	0	1	1	0	3	2	1	0	1	1	5	3	3	0	5	0	0	0	2	1	--	--	2	1	3	0	4	0	0	2	1	0
1972/73	FAR	1	1	1	1	1	0	2	0	1	1	0	1	1	1	0	0	0	0	2	2	2	0	--	--	2	1	1	0	2	2	1	0
1972/73	USK	1	1	0	1	1	1	2	0	2	1	1	1	1	1	5	1	1	2	2	0	2	1	3	1	--	--	0	0	1	0	2	0
1972/73	RBM	1	1	1	1	2	1	1	0	1	0	2	0	1	2	2	1	0	0	1	0	1	0	1	1	1	1	--	--	1	0	0	0
1972/73	ADM	1	2	2	0	1	2	1	2	1	0	0	0	0	0	0	1	2	1	2	0	2	0	1	0	1	1	1	0	--	--	1	0
1972/73	YCR	1	0	2	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	2	0	0	0	1	0	2	1	0	0	0	--	--
