Saison	Equipe	RBM		RCA		DHJ		MCO		WAC		USK		SCCM		TAS		FAR		FUS		MAS		RSS		KACM		ASS		IZK		KAC	
1973/74	RBM	--	--	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	2	1	1	1	1	0	1	1	4	2	1	1	0	0
1973/74	RCA	1	2	--	--	0	0	4	0	1	0	1	0	3	1	2	1	0	0	1	1	1	1	2	0	3	2	2	1	3	1	1	0
1973/74	DHJ	1	0	1	0	--	--	0	2	1	1	0	1	1	0	2	0	0	0	0	0	0	0	2	0	1	0	1	0	2	1	1	2
1973/74	MCO	1	0	1	0	1	2	--	--	1	0	0	1	2	1	2	2	0	0	0	0	1	0	1	1	3	2	5	0	6	0	1	0
1973/74	WAC	0	1	0	0	1	0	1	0	--	--	2	0	1	1	1	3	2	2	0	0	1	0	0	0	0	0	1	0	0	0	2	2
1973/74	USK	0	0	0	0	2	1	1	0	0	0	--	--	2	2	2	1	0	4	1	1	1	0	3	2	2	0	0	0	3	1	2	0
1973/74	SCCM	2	2	1	0	1	1	3	1	1	0	1	0	--	--	1	1	1	1	1	1	1	1	1	0	4	0	1	0	0	0	0	0
1973/74	TAS	1	2	2	1	0	1	2	2	1	1	2	0	0	0	--	--	1	0	2	0	1	0	3	1	1	1	2	1	1	1	2	0
1973/74	FAR	1	1	1	2	2	1	2	0	1	1	2	2	2	0	2	0	--	--	1	3	0	0	3	0	0	1	0	1	0	1	0	0
1973/74	FUS	2	2	3	1	1	2	1	1	1	1	1	0	4	2	2	0	1	1	--	--	2	0	0	1	0	0	2	0	0	0	0	0
1973/74	MAS	1	0	1	2	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	0	--	--	3	2	0	1	2	1	2	1	2	0
1973/74	RSS	0	0	1	1	1	1	3	0	0	1	2	1	1	1	3	0	1	0	1	0	0	1	--	--	1	0	2	1	1	1	3	2
1973/74	KACM	0	0	0	0	1	1	1	1	0	1	3	1	3	2	1	0	0	0	0	0	2	1	0	1	--	--	1	1	2	0	1	0
1973/74	ASS	2	0	1	0	1	0	3	1	1	0	2	2	0	0	2	2	0	0	2	2	0	0	0	0	4	0	--	--	1	0	0	1
1973/74	IZK	0	0	1	0	2	0	0	0	2	0	2	0	4	1	1	0	0	1	0	0	1	1	3	0	1	2	2	2	--	--	1	1
1973/74	KAC 	0	0	2	2	1	1	0	1	1	2	2	1	0	1	0	1	1	1	1	0	1	1	1	1	2	1	1	1	1	0	--	--
