Saison	Equipe	MCO		MAS		RCA		ASS		FUS		DHJ		SCCM		TAS		WAC		RSS		USK		FAR		RBM		MAT		RCMA		KACM	
1974/75	MCO	--	--	2	0	3	2	1	0	1	0	2	1	1	0	1	1	1	1	2	0	4	0	0	1	1	0	1	1	2	2	1	0
1974/75	MAS	2	0	--	--	0	0	1	1	2	1	1	1	2	1	1	0	0	0	2	0	2	0	1	0	0	1	1	0	3	0	1	0
1974/75	RCA	1	1	2	3	--	--	2	0	2	2	2	0	1	0	1	1	0	0	3	1	2	0	0	0	7	1	3	1	2	2	6	0
1974/75	ASS	1	1	1	0	0	0	--	--	0	0	1	1	0	1	1	1	1	1	2	0	1	0	2	0	1	0	5	1	1	0	1	0
1974/75	FUS	0	0	2	0	4	0	0	0	--	--	1	0	1	0	0	1	3	0	1	0	1	0	0	0	1	0	1	0	5	0	2	1
1974/75	DHJ	1	1	1	1	1	0	0	0	1	0	--	--	1	0	1	0	1	1	2	1	2	2	2	0	0	0	0	0	1	0	3	1
1974/75	SCCM	0	0	1	0	0	0	2	0	1	1	0	0	--	--	4	1	3	1	1	0	0	0	0	0	2	0	2	0	2	0	0	0
1974/75	TAS	0	1	2	2	2	2	0	0	1	0	1	0	0	0	--	--	1	1	4	0	1	0	0	1	3	0	7	0	5	0	0	0
1974/75	WAC	1	0	1	0	1	1	3	1	0	2	2	0	2	0	1	1	--	--	0	0	1	0	1	0	2	1	0	0	1	2	0	1
1974/75	RSS	0	0	1	1	1	1	0	0	1	1	1	1	2	0	1	0	2	1	--	--	0	2	2	1	1	1	1	0	0	0	3	1
1974/75	USK	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	3	--	--	3	0	0	1	3	1	1	0	1	2
1974/75	FAR	0	1	0	0	2	2	0	1	0	3	1	1	0	0	1	1	2	0	0	1	1	1	--	--	1	0	2	1	2	0	0	0
1974/75	RBM	1	1	2	2	2	2	0	1	1	1	1	1	2	1	0	2	0	2	2	2	1	1	0	0	--	--	0	2	2	0	2	1
1974/75	MAT	2	0	0	1	0	1	0	0	4	1	1	1	1	1	0	0	1	1	0	1	0	0	2	2	1	2	--	--	3	1	2	1
1974/75	RCMA	1	1	0	1	0	0	0	0	0	1	2	3	1	1	2	2	1	1	1	0	0	0	1	3	0	0	2	0	--	--	2	1
1974/75	KACM	0	3	0	1	0	2	0	0	1	1	0	0	1	0	0	0	1	1	2	1	0	1	0	2	0	0	1	1	0	1	--	--
