Saison	Equipe	WAC		DHJ		RCA		SCCM		FUS		ASS		MAS		RSS		TAS		CODM		FAR		MCO		USK		MAT		RBM		KACM	
1975/76	WAC	--	--	2	0	1	1	2	1	2	1	3	0	3	1	4	1	5	1	3	0	3	0	3	0	3	1	1	0	1	0	4	1
1975/76	DHJ	2	0	--	--	1	1	2	1	1	0	2	1	2	1	1	0	3	0	1	0	1	2	1	0	3	0	3	0	1	0	2	1
1975/76	RCA	0	0	2	4	--	--	1	3	2	1	3	1	1	1	1	1	0	3	2	0	1	0	1	0	1	0	0	0	2	1	3	1
1975/76	SCCM	1	1	1	0	1	1	--	--	1	1	1	1	0	0	4	1	1	1	3	0	2	0	0	0	3	2	3	0	1	0	3	0
1975/76	FUS	1	3	0	1	1	1	3	1	--	--	2	0	1	0	2	0	1	0	1	1	1	1	4	1	2	1	3	0	1	1	2	0
1975/76	ASS	0	0	1	0	1	1	2	1	1	0	--	--	1	0	0	1	2	1	3	0	1	0	1	0	4	2	1	0	4	2	1	1
1975/76	MAS	3	2	1	0	1	2	1	1	2	0	1	0	--	--	2	1	0	0	1	2	2	2	2	0	5	0	1	1	3	0	4	0
1975/76	RSS	1	1	1	1	1	1	3	1	3	1	1	0	1	2	--	--	2	0	3	0	0	1	3	0	3	1	1	1	4	2	0	0
1975/76	TAS	1	2	3	1	0	0	0	0	1	1	2	2	1	0	1	0	--	--	1	0	3	1	2	0	0	0	3	1	1	0	4	2
1975/76	CODM	1	0	2	1	2	2	0	0	1	1	4	0	0	1	0	0	2	1	--	--	1	0	1	1	1	0	2	0	1	1	1	0
1975/76	FAR	0	0	0	1	0	0	2	4	1	0	1	1	2	0	0	0	2	1	1	1	--	--	0	1	1	2	0	0	1	0	3	1
1975/76	MCO	1	0	0	0	0	0	3	1	1	1	1	1	1	0	2	1	1	0	1	1	0	0	--	--	1	0	0	0	2	0	1	1
1975/76	USK	1	1	1	1	3	1	2	0	1	1	1	1	1	0	0	0	2	2	2	2	0	0	1	0	--	--	1	0	1	1	1	1
1975/76	MAT	1	1	0	0	0	2	2	0	1	0	1	0	1	1	1	1	1	1	0	0	2	0	1	0	1	1	--	--	0	1	2	1
1975/76	RBM	1	0	0	2	0	0	2	0	0	0	0	0	1	1	1	1	3	2	1	1	1	2	2	2	4	1	4	0	--	--	2	2
1975/76	MCM	0	1	0	1	1	0	1	1	0	1	0	0	2	1	1	1	1	1	0	0	2	1	2	1	1	1	2	2	1	1	--	--
