Saison	Equipe	WAC		KAC		MCO		RCA		MAS		ASS		FAR		DHJ		FUS		CODM		SCCM		RSS		TAS		EJSC		USK		MAT	
1976/77	WAC	--	--	3	1	0	0	2	3	1	0	2	2	3	1	2	1	5	1	2	2	3	1	1	0	3	0	3	1	4	1	5	1
1976/77	KAC	1	0	--	--	1	0	0	1	0	1	1	0	3	0	2	0	1	0	0	0	1	1	3	0	2	1	1	0	1	1	1	0
1976/77	MCO	1	0	0	0	--	--	1	0	2	0	1	1	1	0	2	2	1	0	2	2	1	1	2	1	2	2	3	0	3	2	1	1
1976/77	RCA	1	1	1	1	0	0	--	--	1	0	2	1	3	1	0	2	0	1	2	1	1	0	1	0	1	0	4	0	2	0	3	1
1976/77	MAS	1	1	1	1	0	0	1	0	--	--	1	0	0	0	2	1	2	0	0	1	0	1	2	0	0	0	2	1	1	1	2	0
1976/77	ASS	1	1	3	1	1	1	2	1	0	1	--	--	1	1	1	0	0	2	1	0	0	0	1	0	1	0	2	0	2	0	1	1
1976/77	FAR	2	0	1	2	1	1	2	0	0	0	0	0	--	--	1	0	0	3	1	2	1	1	0	1	1	1	2	1	3	1	4	1
1976/77	DHJ	1	2	1	0	1	0	0	1	2	0	2	0	2	1	--	--	1	0	0	0	1	0	2	0	1	2	0	0	0	0	6	1
1976/77	FUS	0	0	2	0	1	1	2	1	2	1	1	2	1	2	1	0	--	--	1	2	4	1	2	0	5	2	1	1	2	0	1	1
1976/77	CODM	0	0	2	2	2	1	1	0	2	1	1	0	2	1	1	1	2	1	--	--	1	1	0	1	1	1	1	1	1	1	0	0
1976/77	SCCM	0	0	1	2	1	0	0	1	0	0	2	1	2	0	0	0	2	0	2	0	--	--	2	2	0	1	1	0	0	0	2	1
1976/77	RSS	1	0	1	0	2	1	0	0	1	2	1	1	0	0	3	3	2	0	2	1	0	0	--	--	3	1	0	0	0	1	4	2
1976/77	TAS	1	3	1	1	2	4	0	0	1	0	0	1	1	2	3	0	2	0	1	1	2	2	4	0	--	--	3	1	2	0	2	0
1976/77	EJSC	1	2	2	2	0	0	2	1	0	0	1	0	1	1	0	1	0	1	5	2	1	0	0	0	2	1	--	--	2	1	2	0
1976/77	USK	1	1	1	1	0	1	2	1	1	1	2	0	1	2	1	0	0	0	1	1	0	0	0	0	2	1	1	3	--	--	11	0
1976/77	MAT	0	0	2	0	0	1	0	0	0	3	0	1	1	2	1	1	1	0	2	1	2	0	1	1	1	1	1	1	2	1	--	--
