Saison	Equipe	WAC		MAS		SCCM		CODM		RCA		KAC		ASS		FUS		FAR		EJSC		MCO		DHJ		RBM		RSS		TAS		RSB	
1977/78	WAC	--	--	2	2	2	2	1	0	1	1	2	1	0	0	1	0	1	0	1	1	2	1	3	0	3	0	1	1	3	1	4	0
1977/78	MAS	0	0	--	--	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	3	0	2	1	1	1	0	0	2	0
1977/78	SCCM	0	1	1	0	--	--	1	0	1	0	0	0	1	0	1	4	2	0	3	0	0	0	3	1	2	2	0	0	1	2	2	0
1977/78	CODM	0	1	0	0	2	0	--	--	4	2	2	2	1	0	1	0	0	1	1	0	0	0	2	2	1	0	2	0	0	0	2	0
1977/78	RCA	2	2	1	1	2	1	0	1	--	--	1	0	2	0	1	0	1	0	1	2	2	1	3	0	0	0	2	0	0	2	3	2
1977/78	KAC	1	2	0	1	1	1	2	0	0	0	--	--	1	3	2	2	1	0	1	1	1	0	0	2	1	0	0	3	2	1	1	0
1977/78	ASS	1	1	6	1	1	1	4	3	2	1	0	1	--	--	0	0	2	1	0	1	2	1	0	0	1	1	0	4	2	0	0	0
1977/78	FUS	2	2	2	1	0	1	1	1	0	0	0	0	2	0	--	--	1	0	2	1	0	1	2	1	1	2	1	0	0	0	0	0
1977/78	FAR	1	1	1	3	2	0	0	1	1	0	0	0	0	1	1	0	--	--	2	2	1	1	2	0	5	2	1	1	2	1	3	1
1977/78	ESJC	0	1	2	0	4	1	2	2	0	1	2	2	1	1	1	1	0	1	--	--	4	2	2	0	1	1	1	1	2	4	5	0
1977/78	MCO	0	0	1	0	0	1	1	2	5	1	2	2	0	0	1	1	1	0	1	0	--	--	2	0	0	1	1	0	1	0	1	2
1977/78	DHJ	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	2	3	0	1	2	1	--	--	3	1	4	3	1	1	3	1
1977/78	RBM	2	0	0	0	0	0	0	0	1	1	2	1	2	2	2	0	2	1	1	1	2	0	0	0	--	--	0	0	2	0	0	0
1977/78	RSS	0	1	1	1	1	2	5	2	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	2	1	--	--	2	1	1	1
1977/78	TAS	1	2	2	1	1	1	1	2	1	4	1	6	0	2	3	1	1	2	3	2	3	0	2	1	2	1	0	0	--	--	2	0
1977/78	RSB	0	1	1	2	1	2	2	2	1	0	1	3	1	1	1	0	1	2	3	3	1	0	1	0	1	1	1	1	3	1	--	--
