Saison	Equipe	MAS		KAC		WAC		MCO		ASS		DHJ		FUS		RBM		FAR		RCA		CODM		SCCM		USK		EJSC		KACM		RSS	
1978/79	MAS	--	--	1	1	3	1	1	0	1	0	1	1	0	1	1	1	4	0	2	1	1	0	2	1	3	0	1	0	1	0	2	1
1978/79	KAC	0	1	--	--	5	0	4	1	3	0	0	1	1	0	1	1	0	0	2	1	1	1	2	0	0	0	2	1	2	0	1	0
1978/79	WAC	1	0	3	1	--	--	3	1	1	0	1	1	1	0	0	0	2	1	0	0	2	1	1	1	2	0	1	1	3	0	1	1
1978/79	MCO	1	1	0	0	4	3	--	--	1	0	1	1	2	1	3	0	2	0	3	1	1	0	1	0	4	0	2	2	2	2	1	1
1978/79	ASS	2	0	0	1	2	0	2	0	--	--	0	1	2	0	0	0	1	2	1	2	1	0	1	1	3	1	1	0	0	1	2	1
1978/79	DHJ	0	0	0	0	0	1	2	1	0	0	--	--	0	2	2	2	0	2	1	0	0	1	2	1	1	0	1	0	0	0	1	0
1978/79	FUS	0	2	1	0	0	0	1	1	0	0	0	0	--	--	0	1	0	0	1	2	1	0	3	2	0	3	0	0	1	0	0	0
1978/79	RBM	1	2	0	1	2	1	2	1	0	0	0	0	2	1	--	--	1	1	1	1	2	2	0	0	3	1	3	0	0	0	1	0
1978/79	FAR	1	0	1	1	0	0	2	1	0	1	1	1	0	1	3	1	--	--	1	1	1	0	1	1	0	1	0	1	1	1	6	0
1978/79	RCA	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	4	0	0	--	--	2	0	1	0	2	1	0	0	2	0	5	1
1978/79	CODM	0	0	2	1	1	0	0	0	1	1	2	1	0	1	1	0	1	0	1	1	--	--	3	2	0	0	0	0	1	0	2	1
1978/79	SCCM	0	1	1	1	0	1	6	1	1	1	1	0	0	1	5	2	1	1	1	0	1	0	--	--	1	2	2	2	3	0	2	0
1978/79	USK	0	0	2	3	0	0	0	1	1	2	2	1	0	1	4	0	0	1	2	1	2	1	1	2	--	--	2	0	1	0	3	0
1978/79	EJSC	1	1	2	0	0	2	0	3	1	1	1	0	0	0	1	1	2	0	1	0	0	2	1	0	1	1	--	--	0	0	1	1
1978/79	KACM	1	0	0	1	0	1	0	0	0	0	1	0	0	0	4	0	1	0	0	1	2	1	0	1	1	1	1	0	--	--	3	2
1978/79	RSS	1	0	1	1	1	0	0	1	0	1	1	2	1	0	0	1	1	4	0	1	1	1	0	2	0	0	0	0	1	2	--	--
