Saison	Equipe	SCCM		WAC		USMoh		FUS		KAC		MAS		MCO		RBM		RCA		ASS		DHJ		FAR		MAT		CODM		USK		MCM	
1979/80	SCCM	--	--	1	1	1	3	0	0	1	1	1	0	3	1	1	1	2	1	1	0	1	0	2	0	4	2	3	2	4	1	2	1
1979/80	WAC	2	0	--	--	0	0	3	1	1	1	2	1	4	1	4	1	0	2	0	0	2	0	4	1	2	1	1	1	0	0	1	1
1979/80	USMoh	0	0	1	1	--	--	2	1	5	0	2	2	2	1	1	0	1	0	0	0	1	0	0	1	3	1	0	0	3	1	1	1
1979/80	FUS	3	1	0	0	0	1	--	--	3	2	2	1	2	1	1	1	0	0	0	0	0	0	2	1	0	0	0	0	2	0	1	0
1979/80	KAC	1	2	1	1	5	1	1	0	--	--	0	0	1	0	1	1	1	1	1	1	0	0	0	0	2	0	3	1	4	2	1	0
1979/80	MAS	1	0	1	0	1	0	1	0	0	0	--	--	0	0	1	1	2	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0
1979/80	MCO	0	0	1	0	2	1	1	1	1	3	4	2	--	--	4	0	1	0	2	0	2	0	1	0	3	0	1	1	3	1	0	0
1979/80	RBM	1	0	1	1	2	1	0	0	0	0	1	1	1	1	--	--	0	0	1	0	1	1	2	1	1	0	1	2	3	1	2	1
1979/80	RCA	0	0	1	2	2	2	0	0	1	0	1	1	2	1	2	2	--	--	1	1	0	0	2	1	1	1	1	0	4	0	2	0
1979/80	ASS	2	3	3	1	0	0	1	1	1	1	2	0	2	0	2	1	1	1	--	--	1	0	0	5	2	0	1	1	0	0	1	0
1979/80	DHJ	0	0	0	0	1	0	2	0	1	1	1	1	4	1	1	2	1	0	2	0	--	--	2	0	0	1	1	1	1	0	1	0
1979/80	FAR	0	0	3	0	1	1	0	0	1	2	0	1	1	1	0	0	2	1	2	1	1	1	--	--	2	2	3	0	5	1	2	0
1979/80	MAT	2	2	0	0	1	0	1	2	0	0	1	0	2	1	1	1	2	1	1	1	2	2	2	1	--	--	3	1	2	1	2	1
1979/80	CODM	2	4	0	1	1	1	0	0	1	0	1	1	1	1	2	1	0	0	2	0	1	1	0	3	2	1	--	--	1	1	1	1
1979/80	USK	1	0	0	2	1	1	1	1	1	0	2	1	0	1	2	0	1	1	1	0	1	0	2	3	1	0	2	0	--	--	1	1
1979/80	MCM	0	1	1	2	0	1	0	1	0	0	0	0	4	1	2	0	1	1	0	2	1	0	3	0	2	0	2	2	2	2	--	--
