Saison	Equipe	KAC		FUS		RCA		WAC		CODM		SCCM		MCO		RSS		FAR		MAS		DHJ		USM		ASS		TFB		RSB		USK		MCM		RBM		MAT		UST	
1980/81	KAC	--	--	2	1	1	0	1	2	1	0	1	0	1	0	2	0	2	0	0	0	2	1	5	0	1	0	1	1	1	0	8	3	2	0	3	0	2	0	4	1
1980/81	FUS	1	0	--	--	0	0	0	1	3	0	1	0	0	2	1	0	3	2	2	0	1	0	1	0	2	1	0	0	4	0	1	0	0	0	1	1	2	0	1	0
1980/81	RCA	1	1	3	0	--	--	1	0	3	0	1	0	0	0	1	0	1	2	3	1	1	1	1	1	2	0	1	1	4	0	3	0	1	0	1	0	4	1	2	1
1980/81	WAC	1	0	0	0	1	2	--	--	0	1	2	0	3	1	0	0	0	3	3	0	1	0	2	2	3	1	1	1	0	1	2	0	1	0	4	2	1	0	1	0
1980/81	CODM	1	0	0	2	1	0	2	1	--	--	2	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	3	1	0	1	2	0	1	1	1	0	1	1	2	1
1980/81	SCCM	1	0	2	1	1	1	1	2	2	0	--	--	1	1	1	0	1	1	0	1	2	0	1	0	2	0	3	1	0	0	6	1	3	0	1	0	1	1	2	0
1980/81	MCO	0	1	1	0	0	2	1	0	1	1	2	2	--	--	2	0	2	0	1	0	3	1	1	1	2	0	3	0	2	1	2	2	1	0	1	0	1	0	1	1
1980/81	RSS	0	0	0	0	0	0	0	0	2	1	1	0	2	0	--	--	0	0	1	0	1	1	1	1	3	0	1	0	0	0	2	1	1	1	0	0	1	0	2	0
1980/81	FAR	2	4	2	0	1	1	0	0	2	2	1	2	1	0	0	0	--	--	1	1	2	1	1	0	0	0	2	0	2	0	2	0	2	0	0	0	1	1	0	2
1980/81	MAS	1	2	0	1	0	0	1	0	0	0	1	1	1	0	1	1	1	0	--	--	5	0	1	0	1	1	1	1	1	1	3	0	0	0	1	0	2	0	2	1
1980/81	DHJ	3	0	0	1	1	0	1	1	1	0	1	0	2	0	1	0	0	0	1	0	--	--	1	0	1	1	3	0	1	2	1	0	0	0	2	1	0	0	2	1
1980/81	USM	0	2	2	0	0	0	1	0	0	0	1	0	1	1	2	1	0	2	2	0	1	0	--	--	0	0	2	1	2	0	3	1	1	0	2	1	2	0	3	1
1980/81	ASS	1	1	1	0	1	0	1	1	1	4	1	0	2	1	1	2	0	0	1	0	3	0	1	0	--	--	1	0	0	0	0	0	3	2	2	2	1	1	3	2
1980/81	TFB	2	2	0	1	2	1	2	1	2	1	4	1	0	0	0	0	0	1	0	0	2	2	2	0	2	1	--	--	1	0	0	0	2	1	2	1	1	0	2	0
1980/81	RSB	1	0	0	1	0	0	2	1	2	2	1	2	1	0	0	1	2	0	0	0	0	1	2	0	1	0	0	0	--	--	2	2	1	0	1	0	1	1	2	1
1980/81	USK	0	0	1	1	0	1	0	0	1	2	1	1	1	0	2	1	0	0	0	0	1	0	3	2	2	1	1	0	2	0	--	--	1	0	0	0	8	1	2	1
1980/81	MCM	2	2	0	0	2	1	0	2	2	0	2	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	--	--	1	0	2	1	1	0
1980/81	RBM	2	2	1	0	3	2	0	2	1	3	1	1	1	1	0	1	1	0	2	1	0	0	2	1	1	0	1	1	1	0	1	1	1	0	--	--	1	0	1	2
1980/81	MAT	0	1	1	3	0	0	2	0	1	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	1	1	3	0	2	1	1	1	1	0	5	3	--	--	0	2
1980/81	UST	0	3	1	1	1	0	1	3	3	1	0	1	2	0	0	0	1	2	1	2	1	0	2	1	0	2	1	0	0	1	1	0	0	0	2	3	1	1	--	--
