Saison	Equipe	KAC		WAC		FUS		CODM		RCA		FAR		DHJ		MAS		RSB		RSS		RSK		SCCM		IFBS		MCO		ASS		USM		USK		HUSA	
1981/82	KAC	--	--	4	1	2	0	1	0	2	0	0	0	1	0	2	0	4	0	2	0	0	2	1	0	2	0	0	0	1	0	2	0	2	0	3	0
1981/82	WAC	4	0	--	--	0	0	2	0	1	0	2	2	1	2	0	1	3	1	2	0	1	1	1	2	2	1	2	0	4	0	4	2	1	0	0	0
1981/82	FUS	0	0	1	1	--	--	1	0	0	1	2	1	2	0	0	1	2	0	1	0	2	0	0	0	2	0	1	0	0	1	3	0	0	0	1	0
1981/82	CODM	0	0	2	0	4	1	--	--	4	0	1	1	2	1	1	2	1	0	1	1	3	0	0	0	1	0	1	0	2	0	1	0	3	2	3	2
1981/82	RCA	1	2	0	0	3	1	2	0	--	--	1	0	1	1	0	1	1	0	1	0	0	0	2	0	2	0	1	0	1	3	2	0	0	0	3	1
1981/82	FAR	5	2	1	1	0	0	3	0	0	0	--	--	1	0	0	0	1	1	0	0	1	1	0	1	0	1	5	2	0	0	4	3	2	0	1	0
1981/82	DHJ	0	2	0	0	2	1	1	3	1	0	1	1	--	--	1	0	2	1	1	1	2	0	0	0	2	0	1	0	1	1	2	0	2	0	2	1
1981/82	MAS	0	0	0	0	0	1	1	1	0	0	0	0	1	1	--	--	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	2	0	1	0
1981/82	RSB	3	0	1	3	0	0	0	1	1	1	1	2	1	0	1	1	--	--	1	0	2	0	3	0	1	0	1	0	0	0	1	1	3	0	1	0
1981/82	RSS	1	1	4	0	0	1	1	0	0	1	2	0	1	1	1	0	1	1	--	--	0	0	1	1	1	1	0	0	3	0	2	2	1	1	2	1
1981/82	RSK	0	1	1	1	1	1	2	1	1	1	2	3	1	0	2	2	4	1	1	1	--	--	2	1	1	1	1	0	0	1	0	1	1	0	4	0
1981/82	SCCM	2	0	1	1	0	0	1	0	0	0	1	1	1	0	2	2	0	1	1	0	0	0	--	--	0	0	0	1	1	1	0	0	3	1	3	1
1981/82	IFBS	1	0	1	1	0	0	0	0	1	0	1	0	2	2	1	0	1	2	1	0	2	0	1	0	--	--	2	0	1	0	1	0	2	0	1	1
1981/82	MCO	0	0	0	0	0	0	1	1	2	0	2	0	2	0	1	0	0	0	0	0	0	0	2	0	2	1	--	--	2	0	1	2	1	0	2	1
1981/82	ASS	2	1	0	1	2	0	1	0	1	0	2	4	0	0	0	0	1	1	0	0	1	0	0	0	3	1	1	3	--	--	1	1	3	1	0	0
1981/82	USM	0	0	1	1	1	0	0	1	0	0	0	1	2	1	1	1	0	1	0	0	1	3	1	0	0	0	1	0	5	1	--	--	1	0	1	0
1981/82	USK	0	0	3	1	0	3	0	2	0	0	2	0	1	0	3	0	1	0	0	0	4	0	1	0	2	0	2	0	1	1	2	0	--	--	2	1
1981/82	HUSA	1	2	0	0	0	1	0	1	1	3	1	0	0	1	1	1	0	0	0	1	2	1	1	2	1	0	1	0	0	0	0	0	0	0	--	--
