Saison	Equipe	MAS		RSB		WAC		CODM		RCA		KAC		FAR		FUS		RSS		SCCM		DHJ		MCO		TFBS		RSK		RCMA		UST	
1982/83	MAS	--	--	1	0	1	0	5	2	1	0	0	0	1	0	1	0	0	1	0	0	1	0	2	0	1	0	1	1	3	0	1	0
1982/83	RSB	2	0	--	--	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	2	1	2	0	1	0	2	1	2	0	2	1
1982/83	WAC	1	1	0	0	--	--	1	1	0	0	0	0	1	0	2	0	0	0	1	1	1	1	1	0	2	0	1	1	2	0	4	1
1982/83	CODM	0	0	2	0	1	1	--	--	1	0	1	0	2	2	4	1	1	0	1	0	1	1	2	1	2	2	1	0	2	0	3	0
1982/83	RCA	2	0	1	0	1	1	0	0	--	--	0	1	2	0	0	0	3	2	1	1	1	1	5	0	1	0	0	1	2	0	1	0
1982/83	KAC	2	1	0	0	1	1	0	0	1	0	--	--	0	0	0	0	0	0	1	1	0	0	2	1	0	0	1	1	3	0	3	0
1982/83	FAR	0	0	1	1	1	4	1	0	0	0	1	0	--	--	0	0	2	0	0	0	0	0	2	0	1	0	0	3	4	2	3	0
1982/83	FUS	0	1	2	0	1	1	0	0	0	1	0	1	0	1	--	--	0	0	0	1	2	0	1	1	2	0	2	1	3	2	2	1
1982/83	RSS	0	1	0	1	1	0	1	1	0	1	1	0	0	0	3	1	--	--	3	3	2	1	2	2	0	0	2	0	2	2	0	0
1982/83	SCCM	0	2	2	0	2	0	1	1	0	0	1	1	1	0	1	0	0	0	--	--	1	3	0	0	3	0	0	0	0	2	0	0
1982/83	DHJ	2	0	1	1	1	1	1	1	1	3	1	1	1	0	1	2	0	1	0	0	--	--	0	0	1	0	1	0	0	0	1	0
1982/83	MCO	0	0	0	0	1	1	2	1	1	1	2	0	3	1	1	1	1	0	2	1	1	1	--	--	1	1	0	1	0	0	0	0
1982/83	TFBS	1	2	1	2	1	1	2	1	3	0	1	0	0	1	0	2	0	0	1	0	1	0	0	0	--	--	1	0	1	0	1	1
1982/83	RSK	1	1	2	0	0	1	1	1	2	0	1	2	2	2	0	2	0	1	0	1	3	2	1	2	2	0	--	--	2	0	0	1
1982/83	RCMA	0	0	0	0	0	0	2	1	1	0	1	1	0	1	0	0	1	0	0	0	1	3	1	0	0	0	2	1	--	--	2	1
1982/83	UST	0	1	0	1	1	2	2	2	0	1	1	0	0	0	0	0	2	1	0	0	1	0	0	0	1	1	1	1	1	0	--	--
