Saison	Equipe	FAR		OCK		RCA		CODM		WAC		MAS		FUS		MCO		DHJ		RSB		RSS		RSK		KAC		USK		TFBS		SCCM	
1983/84	FAR	--	--	4	0	1	1	2	0	1	0	1	0	2	0	2	0	1	0	3	0	2	0	0	0	1	0	3	0	3	1	4	0
1983/84	OCK	1	0	--	--	0	0	1	1	1	1	0	0	2	1	0	0	3	1	2	0	1	0	0	0	2	1	3	2	1	1	1	0
1983/84	RCA	1	0	1	0	--	--	0	0	3	1	2	0	4	1	1	0	0	0	0	0	0	1	2	0	1	1	1	0	0	0	2	1
1983/84	CODM	1	1	4	0	3	2	--	--	1	1	1	1	2	2	3	2	2	2	0	0	0	0	1	2	1	1	1	0	3	0	0	0
1983/84	WAC	1	1	1	1	2	2	0	0	--	--	0	1	0	1	1	0	1	1	1	0	0	0	2	0	2	1	2	1	2	0	1	0
1983/84	MAS	0	0	1	0	0	0	1	1	0	1	--	--	2	0	1	0	2	1	1	2	0	1	0	0	1	0	0	0	1	0	1	0
1983/84	FUS	1	1	0	1	2	1	2	3	2	0	0	0	--	--	3	1	4	0	2	1	2	0	1	1	2	0	0	1	5	0	1	0
1983/84	MCO	0	0	3	2	1	0	2	2	2	1	2	1	2	0	--	--	2	1	0	0	2	2	0	0	1	0	2	0	3	1	2	1
1983/84	DHJ	2	1	0	0	0	0	1	1	2	3	0	0	0	0	2	1	--	--	1	0	1	0	0	0	1	0	1	0	2	0	2	0
1983/84	RSB	0	1	3	2	1	0	0	1	0	0	1	0	1	0	3	0	0	0	--	--	2	1	0	0	2	0	0	0	1	0	1	0
1983/84	RSS	0	0	1	1	1	0	0	0	0	2	0	1	1	0	1	1	0	0	3	1	--	--	0	0	0	0	1	0	1	0	1	1
1983/84	RSK	0	0	1	2	0	1	1	1	1	0	2	0	0	0	0	1	1	1	4	1	3	1	--	--	1	0	2	1	0	1	0	1
1983/84	KAC	1	0	0	1	2	1	1	0	0	0	0	0	0	0	1	0	1	2	3	0	1	1	1	1	--	--	1	1	3	0	4	1
1983/84	USK	2	1	0	1	1	1	1	2	3	1	0	0	1	0	0	0	2	0	0	1	1	0	1	0	1	0	--	--	2	0	4	0
1983/84	TFBS	0	3	1	0	1	1	1	0	2	0	0	2	0	0	1	0	2	1	3	0	1	1	1	0	0	0	0	1	--	--	2	0
1983/84	SCCM	0	1	3	1	1	1	1	0	2	3	1	0	1	1	1	1	3	1	0	0	0	2	1	1	0	1	1	1	3	2	--	--
