Saison	Equipe	MAS		KAC		FAR		WAC		MCO		RCA		FUS		CODM		ASS		RSB		DHJ		OCK		RSS		RSK		JSH		USK	
1984/85	MAS	--	--	1	0	1	0	2	0	2	1	0	2	2	1	2	0	0	0	1	1	0	0	2	0	0	0	1	0	2	0	1	0
1984/85	KAC	0	0	--	--	2	1	1	0	2	0	2	1	1	0	2	1	1	0	4	1	0	0	2	1	1	0	0	0	4	0	3	0
1984/85	FAR	0	2	1	1	--	--	2	1	0	0	1	0	0	0	2	1	1	1	6	0	1	1	0	0	2	0	2	0	4	0	2	1
1984/85	WAC	1	1	0	0	1	1	--	--	0	0	1	2	2	0	3	0	2	1	3	1	2	0	1	1	1	0	1	0	2	1	3	2
1984/85	MCO	0	0	1	0	3	1	1	0	--	--	1	1	1	0	1	1	1	1	1	2	1	0	2	1	1	0	1	0	2	0	1	0
1984/85	RCA	0	3	1	1	0	0	2	0	2	0	--	--	0	1	0	0	0	1	3	0	0	1	1	0	3	1	4	2	2	1	2	1
1984/85	FUS	1	0	0	3	0	1	1	3	0	0	0	1	--	--	1	0	3	1	1	0	3	1	3	0	2	0	0	0	1	1	1	0
1984/85	CODM	1	1	1	0	0	0	1	0	2	1	1	3	1	1	--	--	1	0	2	0	1	0	1	0	0	0	1	1	1	1	2	0
1984/85	ASS	1	0	1	1	0	1	1	0	1	1	1	1	0	2	0	0	--	--	1	1	3	0	1	0	1	1	0	0	2	0	2	1
1984/85	RSB	0	0	0	0	2	1	1	0	2	0	2	0	0	1	1	0	2	0	--	--	2	0	1	0	1	1	2	1	1	1	3	0
1984/85	DHJ	1	1	1	1	0	0	1	1	1	1	0	0	2	1	0	0	0	1	1	0	--	--	1	0	1	2	2	1	0	0	3	0
1984/85	OCK	0	0	0	0	0	1	0	2	0	0	0	0	1	0	2	0	4	1	1	0	1	0	--	--	2	0	2	1	3	2	1	0
1984/85	RSS	1	1	1	2	3	2	0	2	1	0	1	0	0	1	0	0	3	0	1	0	0	0	1	0	--	--	0	0	2	2	2	0
1984/85	RSK	1	2	0	1	1	1	1	0	0	1	2	1	1	1	1	0	3	1	1	0	0	0	1	1	0	0	--	--	3	0	2	2
1984/85	JSH	2	2	1	0	1	1	0	0	5	2	0	0	1	1	2	2	1	2	1	0	0	0	0	0	2	0	0	0	--	--	3	1
1984/85	USK	0	2	1	0	2	1	0	1	1	1	1	0	1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	1	1	1	--	--
