Saison	Equipe	WAC		RCA		FAR		KAC		FUS		MAS		CODM		RSB		ASS		KACM		SCCM		DHJ		USM		OCK		USK		MCO		RSS		RSK		JSH		KSIRI	
1985/86	WAC	--	--	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	1	1	0	1	0	3	0	2	1	3	0	3	1	2	0	1	0	3	2	2	1	5	0
1985/86	RCA	1	1	--	--	0	0	0	0	2	0	2	3	3	1	2	0	0	1	1	0	2	1	0	0	2	1	3	0	4	1	1	0	1	0	2	1	3	0	5	0
1985/86	FAR	2	0	0	0	--	--	0	0	0	0	2	0	0	1	0	0	0	0	3	0	1	0	3	0	2	0	4	0	4	2	0	0	2	0	4	2	3	0	3	0
1985/86	KAC	0	1	0	2	1	1	--	--	4	1	1	0	0	0	1	2	2	1	3	1	0	0	1	2	0	0	2	0	0	0	0	1	1	0	2	1	3	0	4	1
1985/86	FUS	1	2	1	1	0	2	1	0	--	--	0	0	1	0	1	0	0	0	0	0	1	0	2	0	2	1	0	0	0	0	1	0	1	0	0	0	4	1	1	0
1985/86	MAS	1	0	2	0	1	1	1	0	0	0	--	--	2	0	0	0	0	0	1	1	1	0	1	0	0	0	2	0	0	0	1	1	0	1	3	1	0	0	4	1
1985/86	CODM	1	1	1	1	2	1	1	2	1	3	0	0	--	--	3	1	2	1	1	0	0	0	0	0	2	1	1	1	2	1	0	0	2	0	2	2	2	0	1	1
1985/86	RSB	0	1	1	0	1	1	0	0	0	0	0	0	0	0	--	--	1	0	0	1	3	1	1	2	2	1	4	2	4	2	0	0	1	1	4	1	1	1	3	0
1985/86	ASS	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	--	--	1	2	1	1	0	0	2	0	1	0	2	2	1	0	1	0	6	1	2	0	2	1
1985/86	KACM	0	2	0	0	0	0	3	2	0	0	1	1	1	1	2	0	1	2	--	--	2	1	1	0	1	1	1	0	2	2	1	0	1	0	3	2	3	1	2	0
1985/86	SCCM	0	1	1	1	1	1	0	1	2	0	1	0	1	0	2	1	1	0	1	0	--	--	3	1	0	0	2	2	4	1	1	0	0	0	1	1	0	0	4	0
1985/86	DHJ	2	1	0	2	1	1	1	2	0	0	1	0	0	1	0	0	1	0	1	0	1	0	--	--	1	0	1	2	1	1	1	0	1	0	3	1	1	0	1	0
1985/86	USM	1	0	0	0	1	1	0	0	1	0	2	0	1	1	0	1	1	0	2	0	1	1	0	1	--	--	2	0	2	2	2	0	0	0	2	2	1	1	1	1
1985/86	OCK	0	1	0	0	1	1	1	1	0	1	2	0	2	1	1	1	0	2	1	0	2	0	2	1	2	0	--	--	0	0	0	0	1	0	2	1	3	0	2	0
1985/86	USK	1	2	0	1	0	1	1	0	0	0	2	1	5	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	--	--	2	1	1	0	1	1	1	0	1	1
1985/86	MCO	3	1	0	0	1	1	0	1	0	0	0	0	1	3	0	0	1	0	2	1	0	0	1	0	0	0	1	0	2	1	--	--	0	1	2	1	2	2	1	0
1985/86	RSS	1	1	0	0	1	1	1	2	1	3	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	2	1	--	--	1	0	1	0	2	2
1985/86	RSK	1	4	0	2	1	0	1	2	0	0	0	1	0	0	2	1	5	2	1	2	0	0	1	0	2	1	4	3	1	0	0	0	0	0	--	--	1	1	1	0
1985/86	JSH	2	1	0	2	1	2	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	0	0	2	1	0	--	--	2	0
1985/86	KSIRI	0	3	0	1	1	3	0	0	1	0	0	2	1	1	0	0	0	0	1	1	2	1	1	0	1	2	1	0	2	0	0	0	0	0	1	4	1	0	--	--
