Saison	Equipe	RCA		KACM		FAR		WAC		USK		CLAS		HAN		OCK		IRT		KAC		ASFA		FUS		MAS		HUSA		RSS		USM		MCO		SCCM	
1987/88	RCA	--	--	2	2	1	1	1	0	1	2	1	1	1	0	1	0	4	1	1	0	2	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0
1987/88	KACM	2	0	--	--	1	0	1	2	1	0	1	0	4	0	0	0	3	1	2	2	2	2	2	0	0	0	1	0	0	1	2	1	3	1	1	0
1987/88	FAR	0	0	2	1	--	--	0	0	3	1	1	1	3	0	0	0	1	0	0	0	3	1	4	1	0	2	1	0	1	0	4	1	3	1	3	1
1987/88	WAC	1	0	1	2	0	0	--	--	5	0	0	0	1	0	2	0	0	1	3	0	2	1	3	1	1	1	2	2	2	1	0	0	3	0	3	0
1987/88	USK	0	1	1	0	1	0	0	0	--	--	3	0	2	0	2	2	1	1	1	0	0	0	1	0	2	0	2	0	0	0	4	3	1	0	1	0
1987/88	CLAS	0	2	1	1	1	1	3	2	3	1	--	--	0	0	2	2	1	0	1	0	0	1	1	2	1	2	1	1	0	3	4	2	3	1	4	0
1987/88	HAN	0	0	0	0	1	0	2	1	1	0	0	0	--	--	1	0	1	0	1	0	3	2	1	0	0	0	0	0	1	1	2	1	1	0	0	0
1987/88	OCK	1	0	1	0	1	0	2	1	3	0	1	3	2	1	--	--	0	0	1	0	1	0	4	1	0	0	2	1	1	1	2	1	0	0	3	0
1987/88	IRT	0	1	1	1	1	1	0	1	0	1	1	0	2	1	2	0	--	--	3	0	1	0	3	0	0	0	0	0	2	1	1	0	1	0	2	0
1987/88	KAC 	0	0	0	0	2	0	0	1	1	0	1	0	1	0	2	1	1	0	--	--	0	1	0	1	1	1	2	1	2	0	0	1	1	1	0	0
1987/88	ASFA	1	0	1	1	1	1	1	1	1	1	0	2	0	0	1	0	1	1	0	0	--	--	1	1	1	0	0	0	1	0	2	1	2	0	0	0
1987/88	FUS	0	2	1	0	0	1	2	0	1	1	2	1	3	0	0	0	1	0	1	0	1	1	--	--	2	2	3	1	1	0	1	0	1	0	0	0
1987/88	MAS	0	1	0	1	0	0	2	0	0	1	1	2	3	0	1	0	4	1	1	1	3	2	1	0	--	--	0	0	0	1	1	0	1	0	0	0
1987/88	HUSA	1	0	2	1	0	0	4	0	1	1	2	0	3	0	2	0	3	1	1	0	0	0	1	0	1	0	--	--	0	0	2	0	0	1	1	1
1987/88	RSS	0	2	2	2	0	0	1	1	3	1	0	3	1	2	1	0	0	2	0	0	1	0	2	2	1	0	1	0	--	--	1	2	1	0	2	0
1987/88	USM	0	0	0	0	2	0	0	0	1	1	2	0	1	1	1	0	1	1	0	1	0	1	1	1	2	0	2	1	1	2	--	--	1	1	1	0
1987/88	MCO	0	0	1	1	1	1	1	2	1	0	1	1	2	3	2	1	1	0	0	2	1	1	1	0	1	0	1	0	1	0	2	2	--	--	1	0
1987/88	SCCM	1	0	1	1	1	1	1	0	2	1	1	1	1	0	1	0	0	0	0	0	1	2	1	0	1	0	0	0	1	1	1	2	0	0	--	--
