Saison	Equipe	KAC		IRT		DHJ		WAC		CODM		FAR		HUSA		KACM		FUS		MAS		RCA		OCK		HAN		ASFA		CLAS		USK	
1988/89	KAC	--	--	1	1	1	0	1	0	3	1	1	0	0	0	0	1	1	0	0	0	1	0	3	0	3	0	1	1	0	0	2	1
1988/89	IRT	1	1	--	--	1	0	1	1	1	0	1	1	0	1	1	0	2	0	0	0	1	1	0	1	2	0	0	0	1	2	2	1
1988/89	DHJ	0	1	1	0	--	--	0	0	0	0	0	0	3	3	0	0	0	0	0	0	2	0	1	0	1	0	2	1	1	1	1	1
1988/89	WAC	1	0	1	1	0	0	--	--	3	1	0	0	1	1	3	1	1	0	2	0	3	1	1	0	6	1	0	0	0	2	2	2
1988/89	CODM	2	2	2	1	2	1	0	2	--	--	0	1	2	2	1	2	0	0	0	1	2	0	0	2	2	0	0	0	2	1	1	0
1988/89	FAR	1	0	1	1	3	0	1	0	1	0	--	--	4	2	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0
1988/89	HUSA	2	2	0	1	3	3	1	0	1	0	1	1	--	--	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	2	1
1988/89	KACM	0	1	0	1	0	0	0	0	2	1	0	2	0	0	--	--	1	0	1	1	1	1	4	0	1	0	2	1	0	0	1	1
1988/89	FUS	0	1	0	1	2	1	1	0	3	2	1	0	0	1	0	0	--	--	1	1	1	1	2	0	2	0	0	1	2	2	2	0
1988/89	MAS	1	0	2	0	4	0	2	1	1	0	1	0	1	0	1	1	1	1	--	--	0	0	0	1	3	1	3	1	2	0	2	0
1988/89	RCA	1	0	1	2	0	2	0	1	1	1	2	0	3	1	1	0	0	0	1	0	--	--	0	0	2	1	3	1	1	0	2	2
1988/89	OCK	2	1	1	0	2	0	1	0	2	0	0	0	0	0	2	1	2	0	1	0	0	0	--	--	1	0	0	0	1	1	0	1
1988/89	HAN	1	0	0	0	0	3	1	1	3	3	0	0	0	2	0	0	0	0	1	0	1	2	0	4	--	--	1	0	1	0	0	0
1988/89	ASFA	1	0	2	1	2	2	2	1	0	0	0	1	1	1	2	1	1	0	0	1	3	1	0	1	1	0	--	--	1	2	0	0
1988/89	CLAS	1	1	2	1	0	0	0	2	2	1	0	1	2	1	1	1	1	0	0	2	2	3	2	1	3	0	2	2	--	--	2	1
1988/89	USK	0	0	0	0	1	1	2	2	3	1	0	0	4	0	1	1	1	2	1	0	1	1	1	1	4	0	3	0	2	0	--	--
