Saison	Equipe	KACM		RCA		WAC		MAS		FAR		OC		DHJ		KAC		RBM		HUSA		OCK		RSS		IRT		FUS		TAS		USMO	
1991/92	KACM	--	--	1	1	1	1	1	0	1	0	1	0	1	0	1	0	3	0	0	0	1	1	2	1	6	1	2	2	1	0	2	0
1991/92	RCA	1	1	--	--	1	1	0	0	0	1	1	1	2	0	2	1	2	0	2	1	1	0	2	1	1	0	2	0	0	0	2	0
1991/92	WAC	0	0	1	0	--	--	1	1	0	0	0	0	1	2	2	0	0	1	2	0	0	0	2	2	3	1	1	0	2	1	3	0
1991/92	MAS	2	2	2	0	2	0	--	--	2	0	2	0	1	1	1	1	3	0	2	0	3	0	0	0	2	1	1	0	2	1	2	0
1991/92	FAR	0	0	2	0	2	2	0	0	--	--	1	1	1	1	1	1	0	2	0	0	2	0	1	0	2	1	0	0	2	1	1	1
1991/92	OC 	1	1	0	2	1	0	1	0	1	1	--	--	3	4	2	0	2	1	0	1	1	1	2	0	2	1	3	0	0	1	2	2
1991/92	DHJ	0	1	0	0	0	1	0	0	3	2	1	1	--	--	2	0	0	0	1	1	0	0	2	0	1	1	0	0	1	0	1	0
1991/92	KAC	2	0	0	0	1	0	1	1	2	0	1	1	1	0	--	--	2	1	1	0	1	1	2	0	1	1	3	0	1	2	1	1
1991/92	RBM	0	0	0	0	0	2	0	0	1	1	3	1	0	1	0	0	--	--	2	1	1	0	1	0	1	4	0	0	2	1	1	0
1991/92	HUSA	1	2	0	1	0	3	1	1	2	1	0	1	2	2	3	0	1	0	--	--	0	0	1	0	2	2	1	0	1	0	2	0
1991/92	OCK	0	0	0	0	0	2	2	1	1	3	0	0	2	1	2	0	0	0	1	0	--	--	0	1	3	1	1	0	0	0	3	0
1991/92	RSS	0	0	3	1	1	0	2	0	1	2	1	1	0	0	1	0	2	0	1	1	1	1	--	--	3	0	0	2	0	0	4	1
1991/92	IRT	0	0	0	0	0	2	2	1	0	0	0	1	3	1	1	0	2	1	1	1	2	1	1	0	--	--	1	0	1	0	1	1
1991/92	FUS	0	1	0	0	0	0	2	1	0	1	1	1	1	1	2	2	0	1	2	1	2	1	2	0	3	0	--	--	4	1	2	3
1991/92	TAS	0	0	0	0	0	0	0	0	1	0	1	2	0	0	2	2	1	1	2	2	1	1	1	1	2	1	2	2	--	--	4	0
1991/92	USMO	1	5	0	0	1	0	1	0	2	4	1	1	1	2	1	3	1	2	0	2	1	1	0	2	0	0	0	3	2	3	--	--
