Saison	Equipe	WAC		RCA		RSS		OC		IRT		FAR		HUSA		OCK		FUS		MCO		KACM		MAS		KAC		RB		DHJ		RBM	
1992/93	WAC	--	--	2	2	3	0	3	0	0	0	2	0	3	2	1	0	1	0	3	1	0	1	2	0	0	0	2	1	2	0	6	1
1992/93	RCA	1	2	--	--	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	2	0	0	0	3	0
1992/93	RSS	1	0	0	0	--	--	0	0	2	1	2	1	0	0	2	2	1	1	0	0	2	1	1	1	3	2	0	0	1	1	1	0
1992/93	OC 	1	1	0	1	3	0	--	--	0	0	0	0	3	0	3	1	2	2	0	2	2	0	1	1	1	1	0	0	2	0	1	0
1992/93	IRT	1	1	0	0	0	0	1	0	--	--	1	0	1	0	2	0	1	0	1	0	1	0	1	1	2	0	4	0	1	0	1	0
1992/93	FAR	1	1	1	0	1	1	0	0	1	0	--	--	1	0	1	0	3	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0
1992/93	HUSA	2	2	2	1	1	1	1	1	2	0	1	1	--	--	1	1	1	1	1	1	1	2	2	0	1	1	1	0	1	2	4	0
1992/93	OCK	0	2	1	0	0	0	1	0	3	0	1	0	0	1	--	--	0	0	1	1	1	1	2	2	2	0	1	0	3	1	2	0
1992/93	FUS	2	2	1	1	2	1	0	0	1	0	0	0	1	1	0	2	--	--	0	1	2	0	2	0	1	0	0	0	1	0	1	1
1992/93	MCO	2	3	1	1	1	1	0	0	0	1	2	0	1	1	1	0	0	1	--	--	0	0	1	0	0	0	2	1	1	0	2	1
1992/93	KACM	1	1	1	0	0	1	1	4	2	0	0	0	1	1	1	0	0	0	1	0	--	--	1	0	0	1	5	2	1	0	0	1
1992/93	MAS	2	0	1	1	0	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	--	--	0	2	3	0	3	0	2	0
1992/93	KAC 	4	0	0	3	0	0	1	1	1	0	0	0	0	0	1	0	1	1	2	0	0	1	1	1	--	--	0	0	0	1	3	0
1992/93	RB	1	1	0	0	1	0	0	0	2	0	1	0	0	2	1	1	1	0	0	1	1	1	0	0	1	0	--	--	3	0	2	0
1992/93	DHJ	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	2	0	0	0	2	4	3	0	2	1	--	--	2	1
1992/93	RBM	2	4	1	1	0	0	0	1	1	1	0	2	0	0	0	0	1	3	1	2	0	0	2	2	2	3	1	1	1	2	--	--
