Saison	Equipe	OC		WAC		RCA		KACM		FAR		MCO		FUS		RSS		KAC		MAS		SCCM		HUSA		IRT		OCK		USK		RB	
1993/94	OC	--	--	0	0	1	0	0	0	2	0	4	2	0	0	3	0	3	0	1	0	3	2	4	0	1	1	1	0	3	0	3	0
1993/94	WAC	1	1	--	--	0	0	0	0	2	2	0	0	1	1	2	2	2	2	3	0	0	1	1	0	6	1	1	0	4	0	1	0
1993/94	RCA	1	1	1	0	--	--	1	1	1	0	1	0	1	0	1	0	2	0	1	0	1	0	0	0	1	1	1	1	1	0	2	0
1993/94	KACM	1	3	2	1	0	0	--	--	1	0	0	0	0	2	4	1	2	0	1	1	2	0	1	1	1	1	1	0	2	0	3	0
1993/94	FAR	3	1	2	2	2	0	1	1	--	--	1	0	1	0	0	0	1	0	2	0	2	0	1	0	1	1	0	0	0	0	3	1
1993/94	MCO	0	0	1	1	1	0	1	0	1	1	--	--	2	1	1	0	1	0	1	1	2	0	0	0	0	0	3	2	2	1	1	0
1993/94	FUS	1	1	0	1	2	0	1	1	0	0	0	1	--	--	2	0	1	0	2	0	1	1	0	0	1	1	1	1	2	0	0	0
1993/94	RSS	1	1	0	2	1	0	2	0	2	0	2	2	1	0	--	--	2	1	0	1	2	1	3	1	2	0	0	2	2	1	3	0
1993/94	KAC	0	2	0	0	0	1	1	1	0	0	2	0	1	0	1	0	--	--	0	0	0	0	1	2	3	1	1	0	1	0	0	0
1993/94	MAS	0	1	1	0	0	0	1	4	1	0	0	1	2	0	1	1	1	1	--	--	2	0	0	0	0	0	2	1	2	1	2	0
1993/94	SCCM	1	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	1	1	0	--	--	0	0	0	0	2	1	2	0	2	1
1993/94	HUSA	0	0	0	4	1	0	2	0	0	0	0	0	0	2	2	2	1	2	2	1	0	0	--	--	2	0	2	0	0	0	1	0
1993/94	IRT	2	1	1	2	1	0	2	0	1	1	3	1	1	1	1	1	2	3	1	1	0	1	2	0	--	--	1	1	1	2	1	0
1993/94	OCK	0	0	1	1	1	1	0	2	0	0	3	2	2	2	4	0	1	0	1	1	0	0	1	0	0	0	--	--	2	3	1	2
1993/94	USK	1	3	1	0	0	2	1	0	1	1	1	0	1	0	2	2	0	5	0	0	1	1	1	0	1	1	1	1	--	--	2	0
1993/94	RB	1	2	0	4	1	1	0	0	2	0	2	2	0	2	0	0	1	2	2	2	1	1	1	2	1	1	0	3	3	1	--	--
