Saison	Equipe	CODM		OC		FAR		KACM		IRT		WAC		RCA		MAS		MCO		RSS		CA		ASFA		DHJ		SCCM		KAC		FUS	
1994/95	CODM	--	--	3	0	1	0	3	1	1	0	1	0	3	2	1	0	1	0	1	1	0	0	0	0	2	1	0	0	0	0	2	0
1994/95	OC	0	0	--	--	2	1	1	1	2	0	0	2	0	0	0	0	2	0	2	0	3	0	1	0	0	0	1	0	2	1	1	1
1994/95	FAR	0	0	0	2	--	--	2	2	3	0	1	1	1	0	1	2	1	1	2	0	1	1	1	1	2	1	1	0	1	0	2	2
1994/95	KACM	0	0	2	0	1	1	--	--	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	1	0	2	0	2	1
1994/95	IRT	1	1	1	0	0	0	0	1	--	--	0	0	1	1	1	0	3	3	2	0	0	2	1	1	2	0	1	1	1	0	0	0
1994/95	WAC	1	1	2	1	3	1	0	0	1	0	--	--	0	1	1	0	1	0	0	1	1	0	2	0	0	0	0	1	1	1	1	0
1994/95	RCA	3	4	2	1	0	0	1	1	1	0	1	2	--	--	3	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	2	0
1994/95	MAS	3	1	1	0	0	1	1	0	1	1	0	0	0	0	--	--	0	2	0	0	1	2	0	1	0	0	2	2	0	0	3	3
1994/95	MCO	0	0	0	0	0	1	1	2	0	0	0	1	0	1	4	1	--	--	0	1	2	1	1	1	2	0	1	0	1	0	1	0
1994/95	RSS	0	0	1	1	1	2	1	0	1	0	1	2	1	1	0	0	1	0	--	--	1	1	2	0	0	0	3	0	0	0	1	1
1994/95	CA	0	0	0	0	2	1	0	1	3	2	0	0	1	1	1	1	1	0	0	0	--	--	1	1	2	2	2	1	2	1	1	2
1994/95	ASFA	1	1	0	1	0	1	0	0	1	0	1	1	2	1	3	0	0	0	1	0	0	1	--	--	2	1	1	0	0	0	0	0
1994/95	DHJ	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	1	1	0	2	0	2	0	--	--	0	1	1	1	2	1
1994/95	SCCM	2	0	0	1	2	0	2	1	1	0	1	1	1	0	1	0	0	0	0	1	0	4	0	0	0	0	--	--	0	0	1	0
1994/95	KAC 	1	1	1	1	1	0	0	0	2	2	0	0	0	0	1	0	2	2	0	0	0	0	0	0	1	4	0	2	--	--	1	0
1994/95	FUS	2	0	1	5	1	2	0	1	3	1	2	2	1	0	0	0	0	1	3	0	0	0	1	1	1	0	0	0	0	1	--	--
